CampaignPromises,DetailActivities,ManifestoReference,ElectedOffficial,ProgressStatusComments,ReferencedDocuments,ProgressStatus
"Education Governance","Revert from 6-3-4-4 system of education to the 6-3-3-4 with focus on improving learning and teaching and providing for those who cannot pursue university education.
	Implement and fund a new Free Education Programme for primary and secondary levels.
	Enhance the capacity for education planning, management, monitoring and coordination
	Develop a new National Education Policy and Action Plan to translate the New Direction into concrete programmes
	Develop a robust policy and legal framework for Public-Private-Partnership in the education sector.
	Develop a new NGO/donor co-ordination policy that would make them more accountable and integrated into the public education programmes
	Strengthen Education Management and Information System (EMIS) to support informed strategic decision-making, programme development, management and evaluation by providing quality data at all levels at all times
	Develop the capacity of School Inspectorate for effective school monitoring and supervision.
	Build the capacity of School Management Committees (SMC) through regular training and providing incentives for their contribution to school management
	De-politicise the Board of Governors of schools, redefine their roles, and introduce a compulsory reporting requirement for Boards
	Respect and support the autonomy of the National Union of Students (NUSS).","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","The former Ministry of education, science & Technology has changed to Ministry of Basic and Senior Secondary Education and Mr. Alpha O. Timbo appointed as Minister

Conference of Principals of Secondary Schools (Western Area)
Message from Ministry


	Ministry of education, science & Technology changed to Ministry of Basic and Senior Secondary Education
	Come September 2018 there will be no more SSS 4
	Current SSS 3 going to SSS 4 will be called SSS 3 Special
	Current sss 2 going to sss 3 will join sss 3 special for 2019 WASSCE Exams
	Submission of names of competent teachers for the August tuition classes for WASSCE Candidates
	The government will provide an encouraging stipend to tutors
	Principals should actively involve in the teaching process
	The Ministry will be monitoring the entire programme
	There will be no extra-charges
	Defaulters will have themselves to blame
	2019 WASSCE will start in May 2019 and end in June 2019
	Unannounced visits by Minister and team to schools
	Teachers found guilty of professional misconduct i.e extortion, negligence of duty, persistent absenteeism will have themselves to blame
	Teachers are going to be issued a teaching license
	Class size is 50",http://statehouse.gov.sl/presidential-cabinet/,"In Progress"
"Higher Education","Establish a separate Ministry of Higher Education (covering technical and vocational education, teacher training, and the universities)
	Review all statutes relating to higher education
	Establish a university system that employs its own leadership as chancellors with distinguished and proven records of higher education leadership, significant international clout and contacts (funding and research networks), and who are reformminded. In the New Direction, the President will no longer be the Chancellor of the Universities.
	Encourage judicious internal resource allocation and management
	Encourage internal initiatives to keep faculties well-compensated, motivated, productive, and accountable
	Upgrade curriculum of tertiary education to match skills acquired to job requirement
	Create the environment for the tertiary institutions to invest in profitable ventures and use profits for developing the University
	Provide incentive schemes to encourage Sierra Leonean writers
	Develop Research and Development in the University
	Introduce entrepreneurial education in the University that will develop and nurture the entrepreneurial mindset to create jobs for themselves and for others even before they complete their university studies.","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","A new ministry called ""Ministry of Technical and Higher Education"" has been created and the New Minister appointed is Professor Aiah Gbakima",http://statehouse.gov.sl/presidential-cabinet/,"In Progress"
"Executive Power and The Presidency","The President under the New Direction will be a constitutional President and will only use powers vested in him by the National Constitution or recognized by the law.

Under the New Direction the next SLPP Government will commit itself to adhere to the rule of law and institutional reforms to maintain law and order in society. This will mean the next President will lead by example, demonstrating the necessary discipline to refrain from acting unconstitutionally and scrupulously respecting the rule of law in the best interest of national development and stability. Accordingly, the SLPP Government after March 7, 2018 shall endeavor to:

Review unlawful acts of the last Government by way of Judicial and Parliamentary review to facilitate the quick restoration and maintenance of the rule of law
	Strengthen Judicial Independence to avoid the current embarrassment engendered by the ECOWAS Court Ruling in the Sam Sumana case
	Avoid the reckless use of Supreme Executive Authority and so-called Orders from Above 
Presidential appointments to be guided by proven competence and qualification
	Sustain a general policy of respect for the rule of law by the President and Government
	Examine the recommendations of the Constitutional Review Commission with a view to giving effect to them as much as is practicable.","Executive Power and the Presidency","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","The following executive orders directly contradict this promise and hence the reason why its status is ""Promise Not Kept"". When these orders are turned into legislation, we will change the status.
16th April 2018 - The President issued ""Implementation of the Executive order No. 1 on Revenue Mobilization""
25th April 2018 - The President issued ""Immediate Expenditure Control measures""","https://electiondata.io/sites/default/files/2018-05/executive-order-2-immediate-expenditure-control-measures-25th-april-2018.pdf, https://electiondata.io/sites/default/files/2018-05/implementation-of-executive-order-number-one-revenue-mobilization.pdf","Promise Not Kept"
"Improving Information, Communications and Technology (ICT)","Under the New Direction the next SLPP Government will ensure that telephony and communications services are improved to such an extent as to contribute significantly to the country's communications development and at affordable cost to all. More specifically the next SLPP administration will:

De-politicise NATCOM to enable it carry out its functions efficiently and effectively
	Forge ahead with liberalising the sector, providing good regulation and the enabling business environment to spur the sector forward
	Establish an Electronic Governance system to manage government business electronically
	Increase access by the public, particularly the rural poor, to all aspects of ICT. In particular, the following measures will be adopted:
	Computer training and facilities will be established in Public Libraries, schools and colleges.
		Protect legal documents by establishment of digital storage centres at remote locations.
		Develop IT infrastructure resilience by multiple back up services for all government documents in all ministries, ensuring health records, land records, etc. are secure
	
	Increase encouragement for setting up of community radio stations
	Increase availability of ICT equipment by providing the requisite incentives
	Science teaching will be encouraged in schools and colleges through focused policies in education. This will lead to a growing pool of technical and scientific labour to create a middle manpower pool nationwide
	Further enhance broadband access across the country, improving rural telecommunications and creating customer choice and affordability","Improving Information, Communication and Technology","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Promoting Marketing and Improve the International Image of Sierra Leone","Develop an improved web portal for tourism promotions
	Participate in international tourist activities
	Collaborate with the Embassies/Missions to showcase the tourist potentials of Sierra Leone to the outside world
	Contract an international PR firm to promote the international image and showcase the tourist potential of Sierra Leone","Developing the Tourism Sector","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Require mining companies to increase procurement of goods and services from Sierra Leone to strengthen trickle-down effects from the mining sector","Require mining companies to increase procurement of goods and services from Sierra Leone to strengthen trickle-down effects from the mining sector","Improving the Management of Mineral Resources","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Increasing Access to Quality Education","Introduce free quality education from pre-school to senior secondary school
	Introduce free university for students pursuing science and technology courses as well medical disciplines.
	Promote development of child-friendly schools that will be provided with recreational facilities, toilet facilities and safe places in each district.
	Provide sponsorship to students to access higher education through the effective management of the Grants-in-Aid policy and introduce Students Loan Scheme.
	Promote Early Childhood Education and Care (ECEC) by mainstreaming nursery and kindergarten education into the national education system, training of teachers and encouraging the private sector to participate in providing nursery and kindergarten education.
	Build and support at least one primary school in every administrative section in every district, at least a Junior Secondary in every administrative chiefdom or electoral ward and at least a Senior Secondary School equipped with a science laboratory in every electoral constituency
	Construct student hostels for at least 500 pupils attending different schools in every district headquarter town and support schools with boarding facilities
	Expand and improve school feeding programmes in all pre-schools and primary schools
	Remove the double shift system within 3 years by constructing additional classrooms and schools in populated communities to reduce overcrowding in school.
	Promote Inclusive Education through improving facilities and free education for the physically challenged.
	Provide subsided school bus services in all urban towns
	Establish functional district libraries equipped with computers and promote mobile library services.
	Establish High Schools of Excellence for Science and Technology education in all regions.
	Make French a core subject in Junior and Senior Secondary Schools","Improving Education and Skills Training","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential",,,"Not Started"
"Reduce Cost on Travelling","Over the last 10 years, overseas travel was an expanding Government area. Despite the cosmetic austerity measures, reports show that the travel budget after austerity is higher than the preausterity period. For example, the attendance of the President to UN, AU or ECOWAS Summits cost over Le4.0 billion in each case. Overseas travel expenses across the MDAs are uncontrollably higher, estimated at over Le250 billion or more than $30 million a year. We recognize that it may be impossible to reduce overseas travel to zero. However, in order to to make savings the following measures will be adopted:

Government delegations will be reduced or streamlined to the minimum-value for money travels
	Quarterly budget performance report on the outcomes compared to estimates of MDAs will be published
	Use of Sierra Leone diplomatic missions to represent Government except where there are unavoidable statutory meetings that lead to net economic benefits
	Adopt travel policy across Ministries, Department and Agencies (MDAs) on ticketing, travel per diem computation, categories of class of travel for each category of staff.","Financing the New Direction, Measures to Control Expenditure","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","On 25th, April 2018, The Statehouse released ""Executive Order Number Two Immediate Expenditure Control Measures"". ",internal:/sites/default/files/2018-05/executive-order-2-immediate-expenditure-control-measures-25th-april-2018.pdf,"In Progress"
"Procurement and Maintenance of Vehicles","It is reported there are 100,000 vehicles registered by Government and related institutions. These exclude those registered under parastatals using private number plates. The purchasing cost of the vehicles, which are mainly SUVs, is around $65,000 to $110,000 each (Government prices). First problem, the vehicles are excessively overpriced. For example, a V6 Land Cruiser or Prado costs Government around Le660 million for 5 years covering high purchase price, customs duty/tax waiver/insurance and repairs. V8 Toyota Land Cruiser will cost Government Le1.09 billion in 5 years. We estimate that 10,000 vehicles cost is around Le6.6 trillion. Reducing this cost by at least 50% will make Le3.3 trillion in 5 years.

Concrete measures will include reducing spending on purchase of V8 vehicles, introducing pool vehicle system in the public sector; staff bus service for junior workers and vehicle loan system for certain categories of public sector workers.","Financing the New Direction, Measures to Control Expenditure","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","On 25th, April 2018, The Statehouse released ""Executive Order Number Two Immediate Expenditure Control Measures"". ",internal:/sites/default/files/2018-05/executive-order-2-immediate-expenditure-control-measures-25th-april-2018.pdf,"In Progress"
"Goods and Services","The goods and services expenditures are mainly recurrent expenditures, wages and salaries and debt service payments. They include vehicles, utilities (telecom, electricity, water facilities, housing), travels, procurement of drugs and medical supplies. This is where we have very large leakages and unbudgeted expenditures. These are the areas that should be tackled decisively to make the required savings for financing poverty related activities","Financing the New Direction, Measures to Control Expenditure","Mr.  Julius  Maada  Bio  - SLPP - 2018 - Presidential","On 25th, April 2018, The Statehouse released ""Executive Order Number Two Immediate Expenditure Control Measures"". ",internal:/sites/default/files/2018-05/executive-order-2-immediate-expenditure-control-measures-25th-april-2018.pdf,"In Progress"
