SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
34621,34620,2018-03-07,Councillors,"Ward Results","Ward 007",Sannoh,Alhaji,SLPP,009900,8001,85.27,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
33382,33381,2018-03-07,Councillors,"Ward Results","Ward 031",Koroma,Ishmeal,SLPP,009900,7483,77.12,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
30005,30004,2018-03-07,Councillors,"Ward Results","Ward 304",Koroma,Edmond,SLPP,009900,7219,74.55,No,Provisional,male-blank-profile-photo.png,"First Round"
33452,33451,2018-03-07,Councillors,"Ward Results","Ward 034",Kallon,Joseph,SLPP,009900,7216,88.63,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
33636,33635,2018-03-07,Councillors,"Ward Results","Ward 047",Kallon,Alpha,SLPP,009900,6778,86.38,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
34519,34518,2018-03-07,Councillors,"Ward Results","Ward 262",Kabia,Sheik,APC,FF333C,6453,59.04,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
32977,32976,2018-03-07,Councillors,"Ward Results","Ward 106",Kanu,John,APC,FF333C,6437,78.98,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
33075,33074,2018-03-07,Councillors,"Ward Results","Ward 118",Sesay,Ngbanthan,APC,FF333C,6317,84.53,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
32577,32576,2018-03-07,Councillors,"Ward Results","Ward 341",Lavai,Solomon,SLPP,009900,6165,78.38,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
29969,29968,2018-03-07,Councillors,"Ward Results","Ward 288",Aminata,Hajah,SLPP,009900,5985,70.08,No,Provisional,female-profile-blank-photo.png,"First Round"
30193,30192,2018-03-07,Councillors,"Ward Results","Ward 282",Jimmy,Cicilia,SLPP,009900,5918,76.20,No,Provisional,female-profile-blank-photo.png,"First Round"
30105,30104,2018-03-07,Councillors,"Ward Results","Ward 284",Ansumana,Morie,SLPP,009900,5911,89.76,No,Provisional,male-blank-profile-photo.png,"First Round"
33047,33046,2018-03-07,Councillors,"Ward Results","Ward 115",Conteh,Alice,APC,FF333C,5839,81.90,Yes,Final/Certified,female-profile-blank-photo.png,"First Round"
32867,32866,2018-03-07,Councillors,"Ward Results","Ward 346",Sama,Ngenda,SLPP,009900,5826,74.89,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
32851,32850,2018-03-07,Councillors,"Ward Results","Ward 326",Kabangai,Edmond,SLPP,009900,5738,78.01,Yes,Final/Certified,male-blank-profile-photo.png,"First Round"
30185,30184,2018-03-07,Councillors,"Ward Results","Ward 286",Mawende,Michaelson,SLPP,009900,5729,91.47,No,Provisional,male-blank-profile-photo.png,"First Round"
34651,34650,2018-03-07,Councillors,"Ward Results","Ward 010",Amara,Edith,SLPP,009900,5657,75.07,Yes,Final/Certified,female-profile-blank-photo.png,"First Round"
