SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionVillage,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto
7602,7601,2017-12-29,"Village Headmen","Village Results","Goderich (Sherbro Town)","Turay Fornah",Sheku,I,808080,3399,,Yes,Final/Certified,
7598,7596,2017-12-29,"Village Headmen","Village Results","Goderich (Sherbro Town)",Mansaray,Hawa,I,808080,2890,,No,Final/Certified,
7847,7846,2017-12-29,"Village Headmen","Village Results",Tombo,Bah,Sarah,I,808080,2626,,Yes,Final/Certified,
7623,7622,2017-12-29,"Village Headmen","Village Results",Hastings,Sesay,Abdul,I,808080,2286,,Yes,Final/Certified,
7543,7541,2016-12-29,"Village Headmen","Village Results","deep Eye Water",Sesay,Ibrahim,I,808080,2210,,Yes,Final/Certified,
7863,7861,2017-12-29,"Village Headmen","Village Results","Yams Farm",Conteh,Foday,I,808080,2122,,Yes,Final/Certified,
7605,7603,2017-12-29,"Village Headmen","Village Results",Grafton,Mansaray,Julius,I,808080,1988,,Yes,Final/Certified,
7676,7675,2017-12-29,"Village Headmen","Village Results","Kissi Town II",Kamara,"Mathew Salieu",I,808080,1913,,Yes,Final/Certified,
7674,7672,2017-12-29,"Village Headmen","Village Results","Kissi Town II",Koroma,"Mohamed Davies",I,808080,1892,,No,Final/Certified,
7719,7718,2017-12-29,"Village Headmen","Village Results",Lumpa,Kabba,Mohamed,I,808080,1845,,Yes,Final/Certified,
7583,7582,2017-12-29,"Village Headmen","Village Results",Gbendembu,Mansaray,Saine,I,808080,1706,,Yes,Final/Certified,
7851,7850,2017-12-29,"Village Headmen","Village Results",Tombo,Mansaray,"Mohamed Dumbuleh",I,808080,1701,,No,Final/Certified,
7607,7606,2017-12-29,"Village Headmen","Village Results",Grafton,Sawah,"Balla Musa",I,808080,1517,,No,Final/Certified,
7621,7619,2017-12-29,"Village Headmen","Village Results",Hastings,Pearce,"Nicholas Kainde",I,808080,1299,,No,Final/Certified,
7845,7844,2017-12-29,"Village Headmen","Village Results",Tombo,Bangura,Nabieu,I,808080,1207,,No,Final/Certified,
7581,7579,2017-12-29,"Village Headmen","Village Results",Gbendembu,Sesay,Mohamed,I,808080,1177,,No,Final/Certified,
7829,7828,2017-12-29,"Village Headmen","Village Results",,Langley,"Beatrice Iyamide",I,808080,1134,,Yes,Final/Certified,
