# ----------------------------------------
# All Web Site Data
# Pages
# 20180101-20180622
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"8,590","5,667",00:01:52,"4,422",39.83%,42.28%,US$0.00
/results,"7,763","4,841",00:01:12,"1,376",38.84%,28.56%,US$0.00
/results/presidential/table,"5,133","3,935",00:01:27,"3,439",53.61%,51.76%,US$0.00
/results/parliamentary/table,"3,674","2,576",00:01:35,"2,014",32.17%,34.19%,US$0.00
/polls,"3,103","2,338",00:03:01,"2,242",72.85%,69.96%,US$0.00
/resources/downloads/results,"2,873","1,908",00:01:48,558,33.04%,30.32%,US$0.00
/results/parliamentary/cards,"2,420","1,367",00:01:12,571,21.02%,18.02%,US$0.00
/resources,"1,265",690,00:00:51,112,45.13%,14.70%,US$0.00
/results/parliamentary/table?date=4&granularity=All&district=All&constituency=All&polling-station=&page=1,"1,155",694,00:00:51,44,34.09%,9.70%,US$0.00
/results/presidential/cards?date=1&granularity=Country Summary&region=All&district=All,"1,128",752,00:01:15,99,44.90%,18.62%,US$0.00
,"125,741","94,696",00:01:19,"28,395",49.26%,22.58%,US$0.00

Day Index,Page Views
01/01/2018,774
02/01/2018,"1,163"
03/01/2018,605
04/01/2018,496
05/01/2018,609
06/01/2018,379
07/01/2018,510
08/01/2018,497
09/01/2018,172
10/01/2018,127
11/01/2018,744
12/01/2018,383
13/01/2018,225
14/01/2018,256
15/01/2018,382
16/01/2018,528
17/01/2018,383
18/01/2018,274
19/01/2018,123
20/01/2018,196
21/01/2018,364
22/01/2018,201
23/01/2018,328
24/01/2018,281
25/01/2018,230
26/01/2018,472
27/01/2018,222
28/01/2018,191
29/01/2018,259
30/01/2018,160
31/01/2018,165
01/02/2018,300
02/02/2018,368
03/02/2018,212
04/02/2018,244
05/02/2018,217
06/02/2018,170
07/02/2018,316
08/02/2018,920
09/02/2018,621
10/02/2018,396
11/02/2018,791
12/02/2018,653
13/02/2018,869
14/02/2018,762
15/02/2018,438
16/02/2018,262
17/02/2018,"1,027"
18/02/2018,679
19/02/2018,854
20/02/2018,"1,427"
21/02/2018,762
22/02/2018,"2,145"
23/02/2018,"1,902"
24/02/2018,"1,717"
25/02/2018,554
26/02/2018,947
27/02/2018,"1,892"
28/02/2018,728
01/03/2018,579
02/03/2018,721
03/03/2018,"1,133"
04/03/2018,"1,194"
05/03/2018,"1,984"
06/03/2018,"1,043"
07/03/2018,"4,210"
08/03/2018,"5,699"
09/03/2018,"3,522"
10/03/2018,"3,198"
11/03/2018,"2,455"
12/03/2018,"2,637"
13/03/2018,"1,540"
14/03/2018,"1,272"
15/03/2018,"1,881"
16/03/2018,"1,282"
17/03/2018,"1,579"
18/03/2018,"1,433"
19/03/2018,"1,808"
20/03/2018,"1,181"
21/03/2018,"1,276"
22/03/2018,"1,050"
23/03/2018,830
24/03/2018,979
25/03/2018,856
26/03/2018,959
27/03/2018,"1,248"
28/03/2018,"1,223"
29/03/2018,945
30/03/2018,990
31/03/2018,"2,334"
01/04/2018,"2,956"
02/04/2018,"3,109"
03/04/2018,"2,431"
04/04/2018,"4,557"
05/04/2018,"2,335"
06/04/2018,"1,713"
07/04/2018,624
08/04/2018,906
09/04/2018,856
10/04/2018,693
11/04/2018,822
12/04/2018,755
13/04/2018,364
14/04/2018,485
15/04/2018,329
16/04/2018,596
17/04/2018,579
18/04/2018,557
19/04/2018,463
20/04/2018,529
21/04/2018,434
22/04/2018,316
23/04/2018,382
24/04/2018,459
25/04/2018,360
26/04/2018,462
27/04/2018,386
28/04/2018,216
29/04/2018,140
30/04/2018,239
01/05/2018,306
02/05/2018,308
03/05/2018,333
04/05/2018,171
05/05/2018,120
06/05/2018,147
07/05/2018,222
08/05/2018,285
09/05/2018,165
10/05/2018,167
11/05/2018,188
12/05/2018,346
13/05/2018,117
14/05/2018,270
15/05/2018,501
16/05/2018,204
17/05/2018,236
18/05/2018,317
19/05/2018,100
20/05/2018,127
21/05/2018,173
22/05/2018,198
23/05/2018,231
24/05/2018,125
25/05/2018,136
26/05/2018,124
27/05/2018,297
28/05/2018,111
29/05/2018,188
30/05/2018,150
31/05/2018,295
01/06/2018,487
02/06/2018,159
03/06/2018,130
04/06/2018,144
05/06/2018,151
06/06/2018,154
07/06/2018,199
08/06/2018,179
09/06/2018,51
10/06/2018,120
11/06/2018,142
12/06/2018,136
13/06/2018,159
14/06/2018,100
15/06/2018,94
16/06/2018,66
17/06/2018,83
18/06/2018,94
19/06/2018,135
20/06/2018,64
21/06/2018,102
22/06/2018,168
,"125,741"
